	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
7939	8gse	0.0	ELECTRON MICROSCOPY	Echovirus E3; Mus musculus	12/14/22					Wang, X., Fu, W.	8gse_0
7940	7st3	2.78	X-RAY DIFFRACTION	Homo sapiens; Human papillomavirus type 16; Lama glama; Pongo pygmaeus	01/08/09					Finton, K.A.K., Rupert, P.B.	7st3_5
7941	8d5c	3.9	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus; Human immunodeficiency virus 1; Mus musculus	11/16/22					Yang, Z., Bjorkman, P.J., Gershoni, J.M.	8d5c_0
7942	4q6i	3.65	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	04/22/14					Boyington, J.C., Nabel, G.J., Mascola, J.R.	4q6i_0
7943	8w90	1.81	X-RAY DIFFRACTION	Homo sapiens; Vicugna pacos	09/04/24					Wang, X.Y., Wang, Y.X.	8w90_0
7944	3o2d	2.19	X-RAY DIFFRACTION	MUS MUSCULUS; HOMO SAPIENS	07/22/10					Freeman, M.M., Seaman, M.S., Rits-Volloch, S., Hong, X., Ho, D.D., Chen, B.	3o2d_0
7945	7t0r	3.65	X-RAY DIFFRACTION	MUS MUSCULUS; HOMO SAPIENS; SYNTHETIC CONSTRUCT	11/30/21					Williams, S.P., Concha, N.O., Wensel, D.L., Hong, X.	7t0r_0
7946	7yqz	3.84	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	10/19/22					Wang, L.	7yqz_0
7947	7v6n	3.99	ELECTRON MICROSCOPY	Homo sapiens; Human betacoronavirus 2c EMC/2012	09/14/22					Wang, X., Zhao, J., Wang, Z., Zeng, J., Zhang, S., Wang, Y.	7v6n_0
7948	7vke	1.9	X-RAY DIFFRACTION	Homo sapiens	08/03/22					Schooten, W.V., Schellenberger, U., Ugamraj, H.S., Manicka, S., Bijpuria, S., Gondu, R.K.	7vke_0
7949	8byu	1.85	X-RAY DIFFRACTION	Homo sapiens	07/12/23					Freier, R., Krapp, S., Hibbert, R.G.	8byu_0
7950	7sk4	0.0	ELECTRON MICROSCOPY	Homo sapiens	07/27/22					Yen, Y.C., Schafer, C.T., Gustavsson, M., Handel, T.M., Tesmer, J.J.G.	7sk4_0
7951	4lmq	2.773	X-RAY DIFFRACTION	HOMO SAPIENS	07/10/13					Zhong, Z., Wang, J., Li, B., Xiang, H., Ultsch, M., Coons, M., Wong, T, Chiang, N.Y., Clark, S., Clark, R., Quintana, L., Gribling, P., Suto, E., Barck, K., Corpuz, R., Yao, J., Takkar, R., Lee, W.P., Damico-Beyer, L.A., Carano, R.D., Adams, C., Kelley, R.F., Wang, W., Ferrara, N.	4lmq_1
7952	7sk8	0.0	ELECTRON MICROSCOPY	Homo sapiens	07/27/22					Yen, Y.C., Schafer, C.T., Gustavsson, M., Handel, T.M., Tesmer, J.J.G.	7sk8_0
7953	7sk3	0.0	ELECTRON MICROSCOPY	Homo sapiens	07/27/22					Yen, Y.C., Schafer, C.T., Gustavsson, M., Handel, T.M., Tesmer, J.J.G.	7sk3_0
7954	7wp0	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	07/20/22					Zheng, Q., Sun, H., Ju, B., Zhang, Z., Li, S., Xia, N.	7wp0_0
7955	8dcc	2.6	X-RAY DIFFRACTION	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	07/06/22					Dickey, T.D., Tolia, N.H.	8dcc_0
7956	6hga	2.6	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	08/23/18					Rondeau, J.M., Goepfert, A.	6hga_0
