	PDB	resolution	method	organism	date	affinity	delta_g	affinity_method	temperature	authors	One_digit_id
0	7wos	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wos_2
1	7wos	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wos_3
2	7woq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7woq_0
3	7wor	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wor_2
4	7wou	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wou_2
5	7wou	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wou_3
6	7wov	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Sun, L., Chen, Z.G.	7wov_4
7	7wov	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Sun, L., Chen, Z.G.	7wov_5
8	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_4
9	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_5
10	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_10
11	7wow	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	11/30/22					Zhang, X., Zhan, W.Q., Chen, Z.G., Sun, L.	7wow_11
12	7xy8	2.3	X-RAY DIFFRACTION	Homo sapiens; synthetic construct	11/23/22					Nakamura, K., Amano, M., Yoneda, K., Suzuki, M., Fukuchi, K.	7xy8_1
13	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_2
14	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_3
15	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_4
16	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_5
17	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_0
18	7ugp	4.2	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	11/09/22					Dam, K.A., Bjorkman, P.J.	7ugp_1
19	7z12	0.0	ELECTRON MICROSCOPY	Homo sapiens; Plasmodium falciparum	11/02/22					Raghavan, S.S.R., Wang, K.T.	7z12_0
20	7y0v	2.48	X-RAY DIFFRACTION	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	09/28/22					Xiao, J.Y., Zhang, Y.	7y0v_0
21	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_5
22	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_0
23	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_1
24	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_2
25	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_3
26	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_4
27	8cw9	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	08/10/22					Hsieh, C.-L., McLellan, J.S.	8cw9_5
28	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_0
29	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_1
30	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_2
31	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_3
32	7tjq	0.0	ELECTRON MICROSCOPY	Homo sapiens; Human metapneumovirus	09/14/22					Hsieh, C.-L., McLellan, J.S., Rush, S.A.	7tjq_4
33	7ye5	6.75	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	08/24/22					Liu, B., Gao, X., Li, Z., Chen, X., He, J., Chen, L., Xiong, X.	7ye5_0
34	7ye9	4.17	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	08/24/22					Liu, B., Gao, X., Li, Z., Chen, X., He, J., Chen, L., Xiong, X.	7ye9_0
35	7yeg	3.73	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	08/24/22					Liu, B., Gao, X., Li, Z., Chen, X., He, J., Chen, L., Xiong, X.	7yeg_0
36	8zhe	3.16	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhe_0
37	8zhf	5.26	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhf_0
38	8zhk	6.3	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhk_2
39	8zhn	4.12	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhn_0
40	8hc4	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	01/25/23					Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	8hc4_0
41	8zhn	4.12	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhn_1
42	8hc4	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	01/25/23					Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	8hc4_1
43	8zhn	4.12	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhn_2
44	8hc4	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	01/25/23					Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	8hc4_2
45	8zhn	4.12	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhn_3
46	8hc4	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	01/25/23					Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	8hc4_3
47	8zhn	4.12	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhn_4
48	8hc4	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	01/25/23					Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	8hc4_4
49	8zhn	4.12	ELECTRON MICROSCOPY	Enterobacteria phage T6; Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct	08/21/24					Yan, Q., Gao, X., Liu, B., Hou, R., He, P., Li, Z., Chen, Q., Wang, J., He, J., Chen, L., Zhao, J., Xiong, X.	8zhn_5
50	8hc4	0.0	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	01/25/23					Liu, B., Gao, X., Chen, Q., Li, Z., Su, M., He, J., Xiong, X.	8hc4_5
51	7ydy	4.75	ELECTRON MICROSCOPY	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	08/24/22					Liu, B., Gao, X., Li, Z., Chen, X., He, J., Chen, L., Xiong, X.	7ydy_0
52	7ucg	3.5	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	08/17/22					Barnes, C.O., Bjorkman, P.J.	7ucg_4
53	7ucg	3.5	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	08/17/22					Barnes, C.O., Bjorkman, P.J.	7ucg_5
54	7ucg	3.5	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	08/17/22					Barnes, C.O., Bjorkman, P.J.	7ucg_0
55	7ucg	3.5	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	08/17/22					Barnes, C.O., Bjorkman, P.J.	7ucg_1
56	7ucg	3.5	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	08/17/22					Barnes, C.O., Bjorkman, P.J.	7ucg_2
57	7ucg	3.5	ELECTRON MICROSCOPY	Homo sapiens; Human immunodeficiency virus 1	08/17/22					Barnes, C.O., Bjorkman, P.J.	7ucg_3
58	7ums	0.0	ELECTRON MICROSCOPY	Homo sapiens; Rotavirus	01/08/09					Jenni, S., Zongli, L., Wang, Y., Bessey, T., Salgado, E.N., Schmidt, A.G., Greenberg, H.B., Jiang, B., Harrison, S.C.	7ums_0
59	7vq0	0.0	ELECTRON MICROSCOPY	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	07/20/22					Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.	7vq0_0
60	6ch9	4.85	X-RAY DIFFRACTION	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	02/22/18					Barnes, C.O., Bjorkman, P.J.	6ch9_1
61	4ypg	3.0	X-RAY DIFFRACTION	HOMO SAPIENS	03/12/15					Oganesyan, V., Dall'Acqua, W.F.	4ypg_1
62	4z5r	3.0	X-RAY DIFFRACTION	HOMO SAPIENS	04/02/15					Eigenbrot, C., Maurer, B., Bosanac, I.	4z5r_3
63	6ul6	2.02	X-RAY DIFFRACTION	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	10/07/19					Lam, K., Jin, R.	6ul6_1
64	6ui1	2.20001	X-RAY DIFFRACTION	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	09/29/19					Lam, K., Jin, R.	6ui1_0
65	6ui1	2.20001	X-RAY DIFFRACTION	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	09/29/19					Lam, K., Jin, R.	6ui1_1
66	6ui1	2.20001	X-RAY DIFFRACTION	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	09/29/19					Lam, K., Jin, R.	6ui1_2
67	6ul6	2.02	X-RAY DIFFRACTION	CLOSTRIDIUM BOTULINUM; VICUGNA PACOS	10/07/19					Lam, K., Jin, R.	6ul6_0
68	7n9t	3.18	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	06/18/21					Huang, W., Taylor, D.	7n9t_2
69	3nid	2.3	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	06/15/10					Zhu, J.H., Zhu, J.Q., Springer, T.A.	3nid_0
70	3t3p	2.2	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	07/25/11					Zhu, J., Zhu, J., Springer, T.A.	3t3p_1
71	3t3m	2.6	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	07/25/11					Zhu, J., Zhu, J., Springer, T.A.	3t3m_1
72	4z7q	2.7	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS; SYNTHETIC CONSTRUCT	04/07/15					Lin, F.-Y., Zhu, J., Springer, T.A.	4z7q_0
73	3nif	2.4	X-RAY DIFFRACTION	HOMO SAPIENS; MUS MUSCULUS	06/15/10					Zhu, J.H., Zhu, J.Q., Springer, T.A.	3nif_1
74	5wth	4.2	ELECTRON MICROSCOPY	HEPATOVIRUS A; HEPATITIS A VIRUS; MUS MUSCULUS	12/12/16					Wang, X., Zhu, L., Dang, M., Hu, Z., Gao, Q., Yuan, S., Sun, Y., Zhang, B., Ren, J., Walter, T.S., Wang, J., Fry, E.E., Stuart, D.I., Rao, Z.	5wth_0
75	1kxt	2.0	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; SUS SCROFA	02/01/02	2.35e-07	-9.04	SPR		Desmyter, A., Spinelli, S., Payan, F., Lauwereys, M., Wyns, L., Muyldermans, S., Cambillau, C.	1kxt_0
76	1kxv	1.6	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; SUS SCROFA	02/01/02	2.5e-08	-10.37	SPR		Desmyter, A., Spinelli, S., Payan, F., Lauwereys, M., Wyns, L., Muyldermans, S., Cambillau, C.	1kxv_0
77	1kxq	1.6	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; SUS SCROFA	02/01/02	3.5e-09	-11.53	SPR		Desmyter, A., Spinelli, S., Payan, F., Lauwereys, M., Wyns, L., Muyldermans, S., Cambillau, C.	1kxq_2
78	4p2c	2.818	X-RAY DIFFRACTION	ESCHERICHIA COLI; LAMA GLAMA	03/03/14					Lo, A.W.H., Moonens, K., De Kerpel, M., Brys, L., Pardon, E., Remaut, H., De Greve, H.	4p2c_4
79	7e8c	3.16	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	03/01/21					Du, S., Xiao, J., Zhang, Z.	7e8c_8
80	7e8c	3.16	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	03/01/21					Du, S., Xiao, J., Zhang, Z.	7e8c_4
81	7e8c	3.16	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	03/01/21					Du, S., Xiao, J., Zhang, Z.	7e8c_5
82	7a3t	2.65	X-RAY DIFFRACTION	DENGUE VIRUS 3; HOMO SAPIENS	08/18/20					Sharma, A., Vaney, M.C., Guardado-Calvo, P., Duquerroy, S., Rouvinski, A., Rey, F.A.	7a3t_0
83	7oaq	1.55	X-RAY DIFFRACTION	LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	04/20/21					Naismith, J.H., Mikolajek, H.	7oaq_0
84	7oaq	1.55	X-RAY DIFFRACTION	LAMA GLAMA; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	04/20/21					Naismith, J.H., Mikolajek, H.	7oaq_1
85	9lyp										9lyp_0
86	7oau	1.65	X-RAY DIFFRACTION	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA	04/20/21					Naismith, J.H., Mikolajek, H.	7oau_0
87	7nx9	2.4	X-RAY DIFFRACTION	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	03/17/21					Zhou, D., Ren, J., Stuart, D.	7nx9_0
88	7nx9	2.4	X-RAY DIFFRACTION	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	03/17/21					Zhou, D., Ren, J., Stuart, D.	7nx9_1
89	7mji	2.81	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; SYNTHETIC CONSTRUCT	04/20/21					Zhu, X., Mannar, D., Srivastava, S.S., Berezuk, A.M., Demers, J.P., Saville, J.W., Leopold, K., Li, W., Dimitrov, D.S., Tuttle, K.S., Zhou, S., Chittori, S., Subramaniam, S.	7mji_0
90	7neg	2.19	X-RAY DIFFRACTION	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	02/04/21					Zhou, D., Ren, J., Stuart, D.	7neg_0
91	7mjl	2.95	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; SYNTHETIC CONSTRUCT	04/20/21					Zhu, X., Mannar, D., Srivastava, S.S., Berezuk, A.M., Demers, J.P., Saville, J.W., Leopold, K., Li, W., Dimitrov, D.S., Tuttle, K.S., Zhou, S., Chittori, S., Subramaniam, S.	7mjl_0
92	7ek0	2.7	X-RAY DIFFRACTION	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	04/03/21					Xu, H., Wang, B., Zhao, T.N., Su, X.D.	7ek0_0
93	7fbk										7fbk_0
94	7ytn	3.51	X-RAY DIFFRACTION	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	06/28/23					Jeong, B.S., Jeon, J.Y., Oh, B.H.	7ytn_0
95	8gz5	1.7	X-RAY DIFFRACTION	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	12/07/22					Yamaguchi, K., Anzai, I., Maeda, R., Moriguchi, M., Watanabe, T., Imura, A., Takaori-Kondo, A., Inoue, T.	8gz5_0
96	6ywc	2.85	X-RAY DIFFRACTION	HOMO SAPIENS; SYNTHETIC CONSTRUCT	04/29/20					Yang, C., Sesterhenn, F., Pojer, F., Correia, B.E.	6ywc_0
97	7s6k	3.4	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	09/14/21					Ozorowski, G., Torres, J.L., Ward, A.B.	7s6k_1
98	6qgy	2.509	X-RAY DIFFRACTION	ESCHERICHIA COLI O157:H7; LAMA GLAMA	01/14/19					Hartmann, J.-B., Kaur, H., Jakob, R.P., Zahn, M., Zimmermann, I., Seeger, M., Maier, T., Hiller, S.	6qgy_1
99	7p6k	3.8	ELECTRON MICROSCOPY	MUS MUSCULUS; SYNTHETIC CONSTRUCT	07/16/21					Deneka, D., Rutz, S., Sawicka, M.	7p6k_0
100	7p5w	3.5	ELECTRON MICROSCOPY	MUS MUSCULUS; SYNTHETIC CONSTRUCT	07/15/21					Deneka, D., Rutz, S., Sawicka, M.	7p5w_5
101	7p60	3.8	ELECTRON MICROSCOPY	MUS MUSCULUS; SYNTHETIC CONSTRUCT	07/15/21					Deneka, D., Rutz, S., Sawicka, M.	7p60_1
102	7p5y	3.29	ELECTRON MICROSCOPY	MUS MUSCULUS; SYNTHETIC CONSTRUCT	07/15/21					Deneka, D., Rutz, S., Sawicka, M.	7p5y_3
103	7b18	2.62	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA; VICUGNA PACOS	11/24/20					Hallberg, B.M., Das, H.	7b18_5
104	7b18	2.62	ELECTRON MICROSCOPY	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; LAMA GLAMA; VICUGNA PACOS	11/24/20					Hallberg, B.M., Das, H.	7b18_4
105	6aru	3.2	X-RAY DIFFRACTION	HOMO SAPIENS	08/23/17					Christie, M., Christ, D.	6aru_0
106	1ic7	2.1	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	03/30/01					Shiroishi, M., Yokota, A., Tsumoto, K., Kondo, H., Nishimiya, Y., Horii, K., Matsushima, M., Ogasahara, K., Yutani, K., Kumagai, I.	1ic7_0
107	9fgx										9fgx_0
108	4ttd	2.15	X-RAY DIFFRACTION	HOMO SAPIENS; GALLUS GALLUS	06/20/14					Wensley, B.	4ttd_1
109	2dqc	1.8	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	05/25/06					Shiroishi, M., Kondo, H., Tsumoto, K., Kumagai, I.	2dqc_0
110	9fgy										9fgy_0
111	1dqj	2.0	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	01/04/00	2.86e-09	-11.45	SPR	25.0	Li, H., Mariuzza, R.A.	1dqj_0
112	1ua6	1.9	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	02/28/03					Kumagai, I., Nishimiya, Y., Kondo, H., Tsumoto, K.	1ua6_0
113	1zv5	2.0	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; GALLUS GALLUS	06/01/05	1e-08	-10.91	SPR		De Genst, E., Silence, K., Decanniere, K., Conrath, K., Loris, R., Kinne, J., Muyldermans, S., Wyns, L.	1zv5_0
114	1xgp	2.1	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	09/17/04					Li, Y., Mariuzza, R.A.	1xgp_0
115	1j1p	1.8	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	12/13/02					Yokota, A., Tsumoto, K., Shiroishi, M., Kondo, H., Kumagai, I.	1j1p_0
116	1g7j	1.75	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	11/10/00					Sundberg, E.J., Urrutia, M., Braden, B.C., Isern, J., Mariuzza, R.A.	1g7j_0
117	2dqi	2.0	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	05/26/06					Shiroishi, M., Kondo, H., Tsumoto, K., Kumagai, I.	2dqi_0
118	1g7m	1.9	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	11/10/00					Sundberg, E.J., Urrutia, M., Braden, B.C., Isern, J., Mariuzza, R.A.	1g7m_0
119	6jb5	1.55	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; GALLUS GALLUS	01/25/19					Caaveiro, J.M.M., Tamura, H., Akiba, H., Tsumoto, K.	6jb5_0
120	2eks	2.0	X-RAY DIFFRACTION	HOMO SAPIENS; GALLUS GALLUS	03/24/07					Nakanishi, T., Tsumoto, K., Yokota, A., Kondo, H., Kumagai, I.	2eks_0
121	4tsc	1.92	X-RAY DIFFRACTION	HOMO SAPIENS; GALLUS GALLUS	06/18/14					Wensley, B.	4tsc_0
122	4u3x	2.26	X-RAY DIFFRACTION	HOMO SAPIENS; GALLUS GALLUS	07/23/14					Rouet, R., Langley, D.B., Christ, D.	4u3x_0
123	1p2c	2.0	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	04/15/03	9.8e-11	-13.65	SPR	25.0	Cauerhff, A., Goldbaum, F.A., Braden, B.C.	1p2c_0
124	1yqv	1.7	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	02/02/05					Cohen, G.H., Silverton, E.W., Padlan, E.A., Dyda, F., Wibbenmeyer, J.A., Wilson, R.C., Davies, D.R.	1yqv_0
125	1ic4	2.5	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	03/30/01					Shiroishi, M., Yokota, A., Tsumoto, K., Kondo, H., Nishimiya, Y., Horii, K., Matsushima, M., Ogasahara, K., Yutani, K., Kumagai, I.	1ic4_0
126	1xfp	1.5	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; GALLUS GALLUS	09/15/04					De Genst, E., Handelberg, F., Van Meirhaeghe, A., Vynck, S., Loris, R., Wyns, L., Muyldermans, S.	1xfp_0
127	8gq1	3.13	X-RAY DIFFRACTION	Gallus gallus; Mus musculus	08/30/23					Matsuura, H., Hirata, K., Sakai, N., Nakakido, M., Tsumoto, K.	8gq1_0
128	1mlc	2.5	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	03/10/95	9.1e-08	-9.6	SPR	25.0	Braden, B.C., Souchon, H., Eisele, J.-L., Bentley, G.A., Bhat, T.N., Navaza, J., Poljak, R.J.	1mlc_0
129	1xgr	2.1	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	09/17/04					Li, Y., Huang, Y., Swaminathan, C.P., Smith-Gill, S.J., Mariuzza, R.A.	1xgr_0
130	1g7h	1.85	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	11/10/00					Sundberg, E.J., Urrutia, M., Braden, B.C., Isern, J., Mariuzza, R.A.	1g7h_0
131	3d9a	1.2	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	05/27/08					DeSantis, M.E., Li, M., Shanmuganathan, A., Acchione, M., Walter, R., Wlodawer, A., Smith-Gill, S.	3d9a_0
132	6jb8	1.65	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; GALLUS GALLUS	01/25/19					Caaveiro, J.M.M., Tamura, H., Akiba, H., Tsumoto, K.	6jb8_0
133	2i26										2i26_0
134	1jtt	2.1	X-RAY DIFFRACTION	CAMELUS DROMEDARIUS; GALLUS GALLUS	08/22/01					Decanniere, K., Transue, T.R., Desmyter, A., Maes, D., Muyldermans, S., Wyns, L.	1jtt_0
135	3hfm	3.0	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	08/11/88					Padlan, E.A., Davies, D.R.	3hfm_0
136	1j1x	1.8	X-RAY DIFFRACTION	MUS MUSCULUS; GALLUS GALLUS	12/20/02					Yokota, A., Tsumoto, K., Shiroishi, M., Kondo, H., Kumagai, I.	1j1x_0
